record_id,date,year_month,day_name,machine_id,machine_model,city,payment_method,total_liters_sold,total_gross_sales_mxn,cash_received_mxn,change_given_mxn,estimated_tickets,avg_ticket_mxn,tank_capacity_per_product_l,reorder_point_l,stockout_flag,stockout_minutes_total,service_status,temperature_cdmx_c,is_weekend,notes,data_quality_issue_flag,intentional_issue_type,suggested_outlier_treatment,liters_des,revenue_des_mxn,closing_inventory_des_l,liters_det_ropa,revenue_det_ropa_mxn,closing_inventory_det_ropa_l,liters_det_blanca,revenue_det_blanca_mxn,closing_inventory_det_blanca_l,liters_multi,revenue_multi_mxn,closing_inventory_multi_l,liters_suav,revenue_suav_mxn,closing_inventory_suav_l,liters_lavat,revenue_lavat_mxn,closing_inventory_lavat_l,liters_det_oscura,revenue_det_oscura_mxn,closing_inventory_det_oscura_l,cash_net_mxn,cash_difference_mxn,expected_revenue_des_mxn,expected_revenue_det_ropa_mxn,expected_revenue_det_blanca_mxn,expected_revenue_multi_mxn,expected_revenue_suav_mxn,expected_revenue_lavat_mxn,expected_revenue_det_oscura_mxn,expected_total_gross_sales_mxn,sales_calculation_difference_mxn,analysis_month,total_liters_sold_iqr_outlier,total_gross_sales_mxn_iqr_outlier,cash_received_mxn_iqr_outlier,change_given_mxn_iqr_outlier,estimated_tickets_iqr_outlier,avg_ticket_mxn_iqr_outlier,stockout_minutes_total_iqr_outlier,temperature_cdmx_c_iqr_outlier,total_iqr_outlier_flags,drop_reason,drop_flag,outlier_treatment_decision,total_gross_sales_mxn_treated,total_liters_sold_treated
R000001,2025-01-01,2025-01,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,650,650,0,20,32.5,100,20,False,0,Operational,18.5,False,,False,,No issue,3,90,71,6,120,78,3,75,81,6,90,94,4,100,90,4.0,100,71,3,75,89,650,0,90,120,75,90,100,100.0,75,650.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,650,29
R000002,2025-01-02,2025-01,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,28,630,630,0,20,31.5,100,20,False,0,Operational,28.9,False,,False,,No issue,3,90,68,5,100,73,3,75,78,6,90,88,4,100,86,4.0,100,67,3,75,86,630,0,90,100,75,90,100,100.0,75,630.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,630,28
R000003,2025-01-03,2025-01,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,685,690,5,12,57.08,100,20,False,0,Operational,26.0,False,,False,,No issue,3,90,65,6,120,67,4,100,74,5,75,83,4,100,82,5.0,125,62,3,75,83,685,0,90,120,100,75,100,125.0,75,685.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,685,30
R000004,2025-01-04,2025-01,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,41,905,905,0,32,28.28,100,20,False,0,Operational,24.9,True,,False,,No issue,4,120,61,8,160,59,3,75,71,10,150,73,6,150,76,6.0,150,56,4,100,79,905,0,120,160,75,150,150,150.0,100,905.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,905,41
R000005,2025-01-05,2025-01,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,660,660,0,13,50.77,100,20,False,0,Operational,25.2,True,,False,,No issue,2,60,59,6,120,53,3,75,68,7,105,66,4,100,72,5.0,125,51,3,75,76,660,0,60,120,75,105,100,125.0,75,660.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,660,30
R000006,2025-01-06,2025-01,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,27,585,585,0,11,53.18,100,20,False,0,Operational,14.5,False,,False,,No issue,2,60,57,6,120,47,3,75,65,7,105,59,3,75,69,4.0,100,47,2,50,74,585,0,60,120,75,105,75,100.0,50,585.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,585,27
R000007,2025-01-07,2025-01,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,545,545,0,18,30.28,100,20,False,0,Operational,27.2,False,,False,,No issue,2,60,55,4,80,43,3,75,62,7,105,52,4,100,65,3.0,75,44,2,50,72,545,0,60,80,75,105,100,75.0,50,545.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,545,25
R000008,2025-01-08,2025-01,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,575,625,50,11,52.27,100,20,False,0,Operational,22.1,False,,False,,No issue,3,90,52,4,80,39,3,75,59,7,105,45,4,100,61,3.0,75,41,2,50,70,575,0,90,80,75,105,100,75.0,50,575.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,575,26
R000009,2025-01-09,2025-01,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,28,620,670,50,13,47.69,100,20,False,0,Operational,18.2,False,,False,,No issue,2,60,50,4,80,35,3,75,56,7,105,38,4,100,57,5.0,125,36,3,75,67,620,0,60,80,75,105,100,125.0,75,620.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,620,28
R000010,2025-01-10,2025-01,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,39,845,850,5,30,28.17,100,20,False,0,Operational,23.5,False,,False,,No issue,3,90,47,9,180,26,3,75,53,10,150,28,5,125,52,6.0,150,30,3,75,64,845,0,90,180,75,150,125,150.0,75,845.0,0.0,2025-01,False,False,False,False,False,False,False,False,0,,False,Normal,845,39
